transaction_id,amount,user_id,timestamp,merchant_category,merchant_id,card_type,is_fraud
1,108.7,328,2024-01-01 08:00:00,retail,29,prepaid,0
2,63.41,378,2024-01-01 10:00:00,online,27,prepaid,0
3,268.71,112,2024-01-01 12:00:00,retail,60,prepaid,0
4,167.6,280,2024-01-01 14:00:00,restaurant,108,debit,0
5,42.23,4,2024-01-01 16:00:00,gas,195,prepaid,0
6,69.34,111,2024-01-01 18:00:00,entertainment,196,credit,0
7,179.42,434,2024-01-01 20:00:00,grocery,89,credit,0
8,332.89,499,2024-01-01 22:00:00,online,97,prepaid,0
9,142.41,454,2024-01-02 00:00:00,restaurant,93,prepaid,0
10,221.06,396,2024-01-02 02:00:00,online,75,credit,0
11,91.9,233,2024-01-02 04:00:00,entertainment,163,credit,0
12,290.36,137,2024-01-02 06:00:00,online,180,prepaid,0
13,940.31,126,2024-01-02 08:00:00,travel,42,debit,0
14,160.61,353,2024-01-02 10:00:00,restaurant,143,prepaid,0
15,49.82,29,2024-01-02 12:00:00,retail,59,debit,0
16,129.13,468,2024-01-02 14:00:00,entertainment,146,credit,0
17,397.3,469,2024-01-02 16:00:00,travel,165,credit,0
18,273.43,288,2024-01-02 18:00:00,grocery,138,prepaid,0
19,45.45,205,2024-01-02 20:00:00,restaurant,93,credit,0
20,74.44,25,2024-01-02 22:00:00,gas,29,prepaid,0
21,427.63,306,2024-01-03 00:00:00,hotel,17,debit,0
22,280.64,129,2024-01-03 02:00:00,retail,142,prepaid,0
23,116.31,275,2024-01-03 04:00:00,grocery,193,prepaid,0
24,123.77,81,2024-01-03 06:00:00,retail,117,prepaid,0
25,89.64,257,2024-01-03 08:00:00,gas,196,prepaid,0
26,57.46,153,2024-01-03 10:00:00,restaurant,164,credit,0
27,32.3,489,2024-01-03 12:00:00,retail,200,prepaid,0
28,268.28,476,2024-01-03 14:00:00,grocery,93,credit,0
29,81.15,485,2024-01-03 16:00:00,online,21,prepaid,0
30,95.75,390,2024-01-03 18:00:00,gas,137,credit,0
31,628.69,85,2024-01-03 20:00:00,hotel,68,credit,0
32,208.97,354,2024-01-03 22:00:00,grocery,52,debit,0
33,251.22,225,2024-01-04 00:00:00,travel,133,credit,0
34,42.07,11,2024-01-04 02:00:00,restaurant,151,prepaid,0
35,176.14,324,2024-01-04 04:00:00,restaurant,16,credit,0
36,66.42,37,2024-01-04 06:00:00,restaurant,132,debit,0
37,846.0,68,2024-01-04 08:00:00,travel,186,credit,0
38,240.61,98,2024-01-04 10:00:00,online,25,prepaid,0
39,267.32,240,2024-01-04 12:00:00,retail,187,prepaid,0
40,88.04,32,2024-01-04 14:00:00,entertainment,104,credit,0
41,274.86,230,2024-01-04 16:00:00,hotel,36,credit,0
42,721.72,473,2024-01-04 18:00:00,travel,20,prepaid,0
43,268.54,277,2024-01-04 20:00:00,online,4,credit,0
44,394.49,110,2024-01-04 22:00:00,retail,103,credit,0
45,229.93,136,2024-01-05 00:00:00,grocery,117,debit,0
46,374.16,402,2024-01-05 02:00:00,travel,143,credit,0
47,43.8,30,2024-01-05 04:00:00,retail,149,prepaid,0
48,26.41,245,2024-01-05 06:00:00,gas,129,credit,0
49,231.7,96,2024-01-05 08:00:00,online,18,prepaid,0
50,135.29,483,2024-01-05 10:00:00,restaurant,146,prepaid,0
51,193.24,215,2024-01-05 12:00:00,entertainment,169,debit,0
